Date,Open,High,Low,Close,Volume
31-Jul-01,1211.23,1226.27,1124.87,1133.58,23359200000
30-Jun-01,1224.42,1239.78,1165.54,1211.23,23793710000
31-May-01,1255.82,1286.62,1203.03,1224.38,24748030000
30-Apr-01,1249.46,1315.93,1232,1255.82,24525900000
1-Apr-01,1160.33,1269.3,1091.99,1249.46,25409990000
1-Mar-01,1239.94,1267.42,1081.19,1160.33,27806610000
1-Feb-01,1366.01,1376.38,1215.44,1239.94,21644400000
1-Jan-01,1320.28,1383.37,1274.62,1366.01,27829800000
1-Dec-00,1314.95,1389.05,1254.07,1320.28,23610800000
1-Nov-00,1429.4,1438.46,1294.9,1314.95,20532300000
30-Sep-00,1436.52,1454.82,1305.79,1429.4,25951400000
31-Aug-00,1517.68,1530.09,1419.44,1436.51,20838300000
31-Jul-00,1430.83,1525.21,1425.43,1517.68,20363700000
30-Jun-00,1454.6,1517.32,1413.89,1430.83,19089100000
31-May-00,1420.6,1488.93,1420.6,1454.6,21738300000
30-Apr-00,1452.43,1481.51,1361.09,1420.6,19898300000
1-Apr-00,1498.58,1527.19,1339.4,1452.43,20106460000
1-Mar-00,1366.42,1552.87,1346.62,1498.58,26156200000
1-Feb-00,1394.46,1444.55,1325.07,1366.42,20912000000
1-Jan-00,1469.25,1478,1350.14,1394.46,21494400000
